name,cas,aldrich_catalog_number,source,smiles
3-Aminothiobenzamide,78950-36-4,,https://www.alfa.com/media/Aniline_Derivatives.pdf,C1=CC(=CC(=C1)N)C(=S)N
"2-Iodo-4,6-dimethylaniline",4102-54-9,,https://www.alfa.com/media/Aniline_Derivatives.pdf,CC1=CC(=C(C(=C1)I)N)C
6-Chloro-2-fluoro-3-methoxyaniline,1017777-77-3,,https://www.alfa.com/media/Aniline_Derivatives.pdf,COC1=C(C(=C(C=C1)Cl)N)F
3-Methyl-5-(trifluoromethoxy)aniline,86256-63-5,,https://www.alfa.com/media/Aniline_Derivatives.pdf,CC1=CC(=CC(=C1)OC(F)(F)F)N
3-Chloro-2-fluoroaniline,2106-04-9,,https://www.alfa.com/media/Aniline_Derivatives.pdf,C1=CC(=C(C(=C1)Cl)F)N
"4-Methoxy-3,5-dimethylaniline",39785-37-0,,https://www.alfa.com/media/Aniline_Derivatives.pdf,CC1=CC(=CC(=C1OC)C)N
3-Chloro-5-(trifluoromethoxy)aniline,151276-13-0,,https://www.alfa.com/media/Aniline_Derivatives.pdf,C1=C(C=C(C=C1OC(F)(F)F)Cl)N
4-Aminobenzeneboronic acid pinacol ester,214360-73-3,,https://www.alfa.com/media/Aniline_Derivatives.pdf,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)N
3-Aminothiobenzamide,78950-36-4,,https://www.alfa.com/media/Aniline_Derivatives.pdf,C1=CC(=CC(=C1)N)C(=S)N
4-Bromo-3-fluoro-2-(trifluoromethyl)aniline,1092460-59-7,,https://www.alfa.com/media/Aniline_Derivatives.pdf,C1=CC(=C(C(=C1N)C(F)(F)F)F)Br
3-Bromo-5-(trifluoromethoxy)aniline,914636-35-4,,https://www.alfa.com/media/Aniline_Derivatives.pdf,C1=C(C=C(C=C1OC(F)(F)F)Br)N
"2-Chloro-4,5-difluoroaniline",2613-32-3,,https://www.alfa.com/media/Aniline_Derivatives.pdf,C1=C(C(=CC(=C1F)F)Cl)N
"4-Chloro-2,6-difluoroaniline",69411-06-9,,https://www.alfa.com/media/Aniline_Derivatives.pdf,C1=C(C=C(C(=C1F)N)F)Cl
3-Chloro-4-ethoxy-5-fluoroaniline,1017778-85-6,,https://www.alfa.com/media/Aniline_Derivatives.pdf,CCOC1=C(C=C(C=C1Cl)N)F
2-Chloro-6-fluoro-3-methoxyaniline,1017777-58-0,,https://www.alfa.com/media/Aniline_Derivatives.pdf,COC1=C(C(=C(C=C1)F)N)Cl
3-Chloro-2-fluoro-6-(trifluoromethyl)aniline,1092461-38-5,,https://www.alfa.com/media/Aniline_Derivatives.pdf,C1=CC(=C(C(=C1C(F)(F)F)N)F)Cl
3-Chloro-4-nitroaniline,825-41-2,,https://www.alfa.com/media/Aniline_Derivatives.pdf,Nc1ccc(c(Cl)c1)[N+]([O-])=O
3-Chloro-5-(trifluoromethoxy)aniline,151276-13-0,,https://www.alfa.com/media/Aniline_Derivatives.pdf,C1=C(C=C(C=C1OC(F)(F)F)Cl)N
4-Chloro-3-(trifluoromethoxy)aniline,97608-50-9,,https://www.alfa.com/media/Aniline_Derivatives.pdf,C1=CC(=C(C=C1N)OC(F)(F)F)Cl
5-Chloro-2-(trifluoromethoxy)aniline,326-64-7,,https://www.alfa.com/media/Aniline_Derivatives.pdf,C1=CC(=C(C=C1Cl)N)OC(F)(F)F
3-Chloro-4-(trifluoromethyl)aniline,445-13-6,,https://www.alfa.com/media/Aniline_Derivatives.pdf,Nc1ccc(c(Cl)c1)C(F)(F)F
"2,3-Dichloro-6-fluoroaniline",1017777-51-3,,https://www.alfa.com/media/Aniline_Derivatives.pdf,C1=CC(=C(C(=C1F)N)Cl)Cl
"3,6-Dichloro-2-fluoroaniline",1017778-56-1,,https://www.alfa.com/media/Aniline_Derivatives.pdf,C1=CC(=C(C(=C1Cl)N)F)Cl
"2,3-Dichloro-6-(trifluoromethyl)aniline",1017777-92-2,,https://www.alfa.com/media/Aniline_Derivatives.pdf,C1=CC(=C(C(=C1C(F)(F)F)N)Cl)Cl
"2,6-Dichloro-3-(trifluoromethyl)aniline",6656-72-0,,https://www.alfa.com/media/Aniline_Derivatives.pdf,C1=CC(=C(C(=C1C(F)(F)F)Cl)N)Cl
"4,5-Difluoro-2-methoxyaniline",1017779-71-3,,https://www.alfa.com/media/Aniline_Derivatives.pdf,COC1=CC(=C(C=C1N)F)F
"3,5-Difluoro-2-methoxyaniline",41860-67-7,,https://www.alfa.com/media/Aniline_Derivatives.pdf,COC1=C(C=C(C=C1F)F)N
"2-Ethoxy-3,5-difluoroaniline",1017779-76-8,,https://www.alfa.com/media/Aniline_Derivatives.pdf,CCOC1=C(C=C(C=C1F)F)N
"3-Ethoxy-2,4-difluoroaniline",1017778-10-7,,https://www.alfa.com/media/Aniline_Derivatives.pdf,CCOC1=C(C=CC(=C1F)N)F
"3-Ethoxy-2,6-difluoroaniline",651734-64-4,,https://www.alfa.com/media/Aniline_Derivatives.pdf,CCOC1=C(C(=C(C=C1)F)N)F
"4-Ethoxy-2,3-difluoroaniline",189751-13-1,,https://www.alfa.com/media/Aniline_Derivatives.pdf,CCOC1=C(C(=C(C=C1)N)F)F
"4-Ethoxy-2,6-difluoroaniline",1017779-79-1,,https://www.alfa.com/media/Aniline_Derivatives.pdf,CCOC1=CC(=C(C(=C1)F)N)F
"4-Ethoxy-3,5-difluoroaniline",942615-19-2,,https://www.alfa.com/media/Aniline_Derivatives.pdf,CCOC1=C(C=C(C=C1F)N)F
"4-Fluoro-2,3-dimethylaniline",1737-68-4,,https://www.alfa.com/media/Aniline_Derivatives.pdf,CC1=C(C=CC(=C1C)F)N
"4-Fluoro-3,5-dimethylaniline",1840-27-3,,https://www.alfa.com/media/Aniline_Derivatives.pdf,CC1=CC(=CC(=C1F)C)N
2-Fluoro-4-methoxyaniline,458-52-6,,https://www.alfa.com/media/Aniline_Derivatives.pdf,COc1ccc(N)c(F)c1
3-Fluoro-2-methoxyaniline,437-83-2,,https://www.alfa.com/media/Aniline_Derivatives.pdf,COC1=C(C=CC=C1F)N
5-Fluoro-2-methoxyaniline,1978-39-8,,https://www.alfa.com/media/Aniline_Derivatives.pdf,COc1ccc(F)cc1N
2-Fluoro-5-(trifluoromethoxy)aniline,116369-23-4,,https://www.alfa.com/media/Aniline_Derivatives.pdf,C1=CC(=C(C=C1OC(F)(F)F)N)F
3-Fluoro-4-(trifluoromethoxy)aniline,1017779-69-9,,https://www.alfa.com/media/Aniline_Derivatives.pdf,C1=CC(=C(C=C1N)F)OC(F)(F)F
