,feature1,feature2,feature3
0,HOMO,LUMO,softness
1,HOMO,LUMO,Dipole
2,HOMO,LUMO,Pol
3,HOMO,LUMO,Torsion
4,HOMO,LUMO,B1
5,HOMO,LUMO,B5
6,HOMO,LUMO,BL
7,HOMO,LUMO,Volavg X
8,HOMO,LUMO,NBOC1
9,HOMO,LUMO,NBON1
10,HOMO,LUMO,NBOC2
11,HOMO,LUMO,NBOC3
12,HOMO,LUMO,NBOX
13,HOMO,LUMO,NBOC4
14,HOMO,LUMO,νCNssy
15,HOMO,LUMO,iCNssy
16,HOMO,LUMO,νCNsas
17,HOMO,LUMO,iCNsas
18,HOMO,softness,Dipole
19,HOMO,softness,Pol
20,HOMO,softness,Torsion
21,HOMO,softness,B1
22,HOMO,softness,B5
23,HOMO,softness,BL
24,HOMO,softness,Volavg X
25,HOMO,softness,NBOC1
26,HOMO,softness,NBON1
27,HOMO,softness,NBOC2
28,HOMO,softness,NBOC3
29,HOMO,softness,NBOX
30,HOMO,softness,NBOC4
31,HOMO,softness,νCNssy
32,HOMO,softness,iCNssy
33,HOMO,softness,νCNsas
34,HOMO,softness,iCNsas
35,HOMO,Dipole,Pol
36,HOMO,Dipole,Torsion
37,HOMO,Dipole,B1
38,HOMO,Dipole,B5
39,HOMO,Dipole,BL
40,HOMO,Dipole,Volavg X
41,HOMO,Dipole,NBOC1
42,HOMO,Dipole,NBON1
43,HOMO,Dipole,NBOC2
44,HOMO,Dipole,NBOC3
45,HOMO,Dipole,NBOX
46,HOMO,Dipole,NBOC4
47,HOMO,Dipole,νCNssy
48,HOMO,Dipole,iCNssy
49,HOMO,Dipole,νCNsas
50,HOMO,Dipole,iCNsas
51,HOMO,Pol,Torsion
52,HOMO,Pol,B1
53,HOMO,Pol,B5
54,HOMO,Pol,BL
55,HOMO,Pol,Volavg X
56,HOMO,Pol,NBOC1
57,HOMO,Pol,NBON1
58,HOMO,Pol,NBOC2
59,HOMO,Pol,NBOC3
60,HOMO,Pol,NBOX
61,HOMO,Pol,NBOC4
62,HOMO,Pol,νCNssy
63,HOMO,Pol,iCNssy
64,HOMO,Pol,νCNsas
65,HOMO,Pol,iCNsas
66,HOMO,Torsion,B1
67,HOMO,Torsion,B5
68,HOMO,Torsion,BL
69,HOMO,Torsion,Volavg X
70,HOMO,Torsion,NBOC1
71,HOMO,Torsion,NBON1
72,HOMO,Torsion,NBOC2
73,HOMO,Torsion,NBOC3
74,HOMO,Torsion,NBOX
75,HOMO,Torsion,NBOC4
76,HOMO,Torsion,νCNssy
77,HOMO,Torsion,iCNssy
78,HOMO,Torsion,νCNsas
79,HOMO,Torsion,iCNsas
80,HOMO,B1,B5
81,HOMO,B1,BL
82,HOMO,B1,Volavg X
83,HOMO,B1,NBOC1
84,HOMO,B1,NBON1
85,HOMO,B1,NBOC2
86,HOMO,B1,NBOC3
87,HOMO,B1,NBOX
88,HOMO,B1,NBOC4
89,HOMO,B1,νCNssy
90,HOMO,B1,iCNssy
