,ee,ΔΔG‡,HOMO,LUMO,softness,Dipole,Pol,Torsion,VBur,B1,B5,BL,VolNi,Volavg X,NBOC1,NBON1,NBOC2,NBOC3,NBOX,NBOC4,νCNssy,iCNssy,νCNsas,iCNsas
3,66,0.94,-0.259,-0.057,6.34,8.88,296.6,4.46,37.9,2.25,9.59,5.57,0.732,0.508,0.521,-0.433,-0.094,-0.089,-0.436,-0.402,1752.0,94.67,1757.0,65.35
2,88,1.63,-0.257,-0.057,6.37,8.99,272.6,3.15,40.7,2.72,8.28,4.6,0.754,0.521,0.523,-0.434,-0.087,-0.095,-0.436,-0.227,1745.0,84.34,1762.0,66.74
15,50,0.65,-0.248,-0.054,6.62,8.07,422.6,4.27,50.0,3.69,10.71,6.14,0.805,0.51,0.519,-0.428,-0.086,-0.089,0.438,-0.423,1739.0,95.65,1755.0,47.49
11,62,0.86,-0.259,-0.058,6.29,8.13,377.2,3.1,48.7,3.18,9.14,5.82,0.802,0.511,0.519,-0.427,-0.087,-0.089,-0.438,-0.422,1736.0,94.17,1755.0,51.83
10,62,0.86,-0.258,-0.058,6.33,6.37,387.0,2.26,48.2,3.18,9.8,5.58,0.798,0.511,0.518,-0.427,-0.088,-0.089,-0.438,-0.419,1736.0,93.79,1755.0,51.21
12,57,0.77,-0.257,-0.059,6.33,7.64,461.5,2.36,47.1,3.18,10.89,8.11,0.79,0.51,0.519,-0.427,-0.088,-0.089,-0.438,-0.42,1736.0,94.03,1756.0,55.2
5,90,1.74,-0.258,-0.056,6.38,8.17,366.0,2.2,41.1,2.98,11.13,6.59,0.752,0.522,0.523,-0.435,-0.089,-0.095,-0.436,-0.221,1741.0,81.4,1765.0,68.48
14,63,0.88,-0.257,-0.054,6.43,6.79,381.9,2.79,48.1,4.52,9.94,5.58,0.798,0.514,0.52,-0.431,-0.087,-0.092,-0.437,-0.423,1733.0,94.84,1756.0,57.82
13,62,0.86,-0.272,-0.077,5.73,13.88,385.1,2.93,47.8,3.06,9.87,5.6,0.796,0.51,0.522,-0.429,-0.087,-0.089,-0.434,-0.429,1736.0,110.3,1752.0,46.72
27,87,1.58,-0.245,-0.044,6.93,14.44,318.03,4.94,41.3,2.31,8.51,4.61,0.755,0.704,0.417,-0.445,-0.065,-0.221,-0.402,-0.223,1679.0,210.9,1707.0,41.66
28,90,1.74,-0.244,-0.043,6.97,14.64,342.35,4.83,41.3,2.27,8.56,4.61,0.755,0.74,0.418,-0.449,-0.065,-0.219,-0.404,-0.2235,1679.6,226.66,1706.4,44.48
21,85,1.49,-0.247,-0.048,6.78,14.1,416.5,16.58,40.0,2.18,8.6,4.6,0.743,0.788,0.426,-0.444,-0.069,-0.216,-0.425,-0.224,1688.0,174.8,1706.0,56.87
7,87,1.58,-0.258,-0.055,6.4,8.6,331.8,1.7,39.3,2.38,9.25,6.68,0.74,0.523,0.524,-0.432,-0.079,-0.098,-0.436,-0.239,1748.0,92.64,1768.0,65.48
19,53,0.7,-0.258,-0.053,6.43,8.7,478.8,6.68,51.8,3.3,10.5,6.59,0.829,0.547,0.539,-0.434,-0.075,-0.103,-0.432,-0.288,1748.0,61.17,1765.0,54.74
26,86,1.53,-0.248,-0.038,7.0,13.94,435.15,6.62,40.8,1.97,8.34,4.61,0.751,0.776,0.407,-0.451,-0.054,-0.23,-0.4,-0.224,1772.0,182.3,1755.0,36.49
22,75,1.15,-0.252,-0.06,6.41,13.06,442.1,19.2,39.9,2.16,8.68,4.6,0.743,0.795,0.421,-0.433,-0.069,-0.218,-0.425,-0.224,1695.0,212.6,1712.0,58.76
24,84,1.45,-0.255,-0.063,6.3,8.67,444.7,16.99,40.1,2.17,10.25,4.6,0.745,0.788,0.422,-0.435,-0.069,-0.217,-0.429,-0.224,1684.0,248.9,1713.0,37.83
9,59,0.8,-0.26,-0.06,6.25,8.26,350.5,2.48,47.4,3.18,9.16,5.09,0.793,0.509,0.519,-0.427,-0.087,-0.089,-0.437,-0.423,1736.0,94.5,1755.0,51.67
16,59,0.8,-0.263,-0.062,6.15,8.45,469.8,1.96,36.7,3.23,13.45,5.55,0.727,0.505,0.524,-0.43,-0.083,-0.095,-0.435,-0.433,1740.0,108.6,1759.0,50.51
6,76,1.18,-0.257,-0.058,6.35,9.07,266.9,1.89,37.5,2.6,8.29,4.57,0.72,0.51,0.518,-0.427,-0.092,-0.088,-0.437,-0.252,1737.0,85.85,1761.0,67.93
23,85,1.49,-0.245,-0.044,6.9,15.29,519.9,16.39,40.0,2.19,10.8,4.61,0.758,0.787,0.427,-0.447,-0.087,-0.216,-0.422,-0.223,1688.0,72.47,1704.0,64.57
18,55,0.73,-0.264,-0.065,6.08,8.51,445.2,3.01,37.0,3.27,11.63,5.17,0.727,0.509,0.523,-0.43,-0.083,-0.094,-0.435,-0.43,1735.0,95.04,1758.0,50.33
