,Free Ligand,ee,ΔΔG‡,HOMO,LUMO,softness,Dipole,Pol,Torsion,B1,B5,BL,Volavg X,NBOC1,NBON1,NBOC2,NBOC3,NBOX,NBOC4,νCNssy,iCNssy,νCNsas,iCNsas,type
2,L2,88,1.63,-0.308,0.002,6.53,1.36,155.44,32.22,1.92,8.37,4.59,0.548,0.481,-0.429,-0.099,-0.096,-0.469,-0.211,1801,82.79,1759,93.06,biox
25,L28,75,1.15,-0.273,0.005,7.47,4.79,187.63,15.96,2.73,8.07,4.57,0.697,0.368,-0.411,-0.074,-0.228,-0.435,-0.214,1762,94.85,1741,94.77,biim
9,L1,59,0.8,-0.295,0.002,6.83,1.4,229.75,34.23,1.92,7.67,5.27,0.565,0.493,-0.44,-0.094,-0.099,-0.462,-0.419,1794,67.88,1751,52.18,biim
3,L11,66,0.94,-0.305,0.003,6.61,1.35,183.27,25.82,2.64,8.99,5.58,0.52,0.477,-0.421,-0.106,-0.094,-0.468,-0.387,1800,89.19,1761,103.84,biox
5,L3,90,1.74,-0.303,0.0,6.61,1.24,251.14,19.97,2.36,9.82,6.46,0.535,0.48,-0.426,-0.098,-0.095,-0.468,-0.204,1796,84.19,1758,100.85,biox
11,L17,62,0.86,-0.281,-0.001,7.09,1.72,271.67,28.73,3.57,11.58,5.89,0.521,0.478,-0.421,-0.093,-0.096,-0.466,-0.414,1799,95.69,1758,122.83,biox
20,L6,89,1.68,-0.255,0.007,8.06,3.81,391.2,65.23,3.14,8.81,4.61,0.824,0.403,-0.45,-0.073,-0.223,-0.432,-0.209,1754,127.07,1708,132.98,biim
17,L23,64,0.9,-0.259,0.003,7.82,3.69,307.82,25.48,2.26,10.99,8.36,0.518,0.478,-0.413,-0.095,-0.101,-0.467,-0.412,1800,79.69,1762,127.64,biim
26,L29,86,1.53,-0.274,0.0,7.29,5.09,317.24,17.19,2.73,9.25,4.57,0.773,0.372,-0.411,-0.076,-0.228,-0.44,-0.212,1765,129.35,1742,89.15,biim
12,L18,57,0.77,-0.279,-0.001,7.13,0.78,354.98,29.5,3.72,13.26,8.26,0.52,0.479,-0.422,-0.092,-0.096,-0.466,-0.412,1800,98.32,1759,128.2,biox
27,L4,87,1.58,-0.269,0.008,7.66,4.35,200.95,20.93,1.93,8.51,4.6,0.704,0.371,-0.415,-0.074,-0.223,-0.448,-0.212,1731,110.55,1722,100.64,biim
14,L20,63,0.88,-0.271,0.005,7.51,1.77,275.09,32.61,3.56,11.46,5.88,0.522,0.479,-0.422,-0.092,-0.098,-0.466,-0.417,1800,90.93,1757,128.51,biox
13,L19,62,0.86,-0.323,-0.006,5.22,7.08,279.79,30.5,3.69,11.73,5.8,0.521,0.481,-0.423,-0.092,-0.096,-0.462,-0.422,1797,98.1,1757,122.22,biox
10,L16,62,0.86,-0.269,0.004,7.56,0.31,266.74,37.38,1.95,8.03,5.7,0.563,0.494,-0.443,-0.094,-0.099,-0.463,-0.414,1796,67.46,1751,49.04,biox
16,L22,59,0.8,-0.271,-0.022,6.82,1.55,353.71,22.22,2.99,13.58,5.68,0.525,0.474,-0.415,-0.09,-0.097,-0.467,-0.419,1791,75.33,1755,145.33,biim
22,L8,75,1.15,-0.273,-0.013,6.97,2.76,321.28,63.33,2.22,7.94,4.6,0.773,0.389,-0.414,-0.074,-0.231,-0.429,-0.215,1761,99.98,1717,181.22,biim
23,L26,85,1.49,-0.253,0.011,8.24,3.94,395.9,68.65,2.07,9.97,4.61,0.771,0.4,-0.436,-0.073,-0.227,-0.428,-0.212,1758,126.29,1710,203.5,biim
4,L12,89,1.68,-0.307,0.003,6.58,1.34,178.93,31.22,1.92,8.36,5.57,0.548,0.48,-0.428,-0.094,-0.097,-0.47,-0.206,1801,80.86,1759,89.68,biox
24,L27,84,1.45,-0.278,-0.015,6.82,2.22,322.78,67.71,2.08,9.47,4.61,0.772,0.395,-0.42,-0.074,-0.228,-0.43,-0.213,1765,94.77,1719,160.21,biim
0,L9,65,0.92,-0.308,0.002,6.52,1.61,110.23,24.95,1.88,7.45,3.42,0.523,0.437,-0.414,-0.109,-0.094,-0.467,-0.6,1798,90.35,1760,83.12,biox
19,L25,53,0.7,-0.287,-0.006,6.83,1.92,366.63,28.17,1.98,11.27,6.58,0.538,0.495,-0.44,-0.09,-0.092,-0.462,-0.256,1796,88.19,1756,113.94,biim
1,L10,64,0.9,-0.31,0.002,6.48,1.7,228.36,33.41,1.9,12.53,4.68,0.518,0.482,-0.433,-0.103,-0.093,-0.466,-0.39,1801,105.89,1761,76.25,biox
