,UMAP1,UMAP2
0,11.566343,-9.902158
1,11.56792,-9.894771
2,11.527375,-9.9269
3,11.543995,-9.916199
4,11.5586405,-9.9008
5,11.548629,-9.907682
6,11.542935,-9.912789
7,11.5565195,-9.904803
8,11.557875,-9.903913
9,11.573207,-9.892728
10,11.632455,-9.848247
11,11.659691,-9.8316765
12,11.641066,-9.842587
13,11.67192,-9.8176155
14,11.680826,-9.809674
15,11.721611,-9.779593
16,11.737968,-9.769817
17,11.724807,-9.784491
18,11.75679,-9.761062
19,11.735591,-9.778157
20,11.773155,-9.758072
21,11.766829,-9.762836
22,11.79436,-9.741
23,11.81515,-9.732076
24,11.847582,-9.705507
25,11.803241,-9.74844
26,11.910412,-9.677459
27,11.9456415,-9.667671
28,12.027547,-9.602016
29,12.0342,-9.603786
30,12.020392,-9.609969
31,12.006211,-9.624861
32,12.054676,-9.585797
33,12.080206,-9.604935
34,12.091285,-9.564774
35,12.135884,-9.506523
36,12.100616,-9.559677
37,12.115487,-9.551437
38,12.101979,-9.558957
39,12.182663,-9.515666
40,12.169606,-9.515053
41,12.176493,-9.520729
42,12.223502,-9.494218
43,12.242252,-9.488163
44,12.258357,-9.483278
45,12.301072,-9.4620285
46,12.335758,-9.446378
47,12.382188,-9.41368
48,12.347102,-9.439061
49,12.654176,-9.294975
50,12.694331,-9.274566
51,12.675461,-9.284379
52,12.697085,-9.273955
53,12.646758,-9.286647
54,12.680784,-9.282766
55,12.717658,-9.262038
56,12.752794,-9.23941
57,12.753452,-9.235564
58,12.743078,-9.248695
59,12.756058,-9.24045
60,12.785996,-9.225847
61,12.817112,-9.2060585
62,12.82117,-9.210689
63,12.875191,-9.172252
64,12.886989,-9.166178
65,12.906334,-9.153813
66,12.950574,-9.1334305
67,12.978858,-9.113511
68,13.0480995,-9.074518
69,13.063886,-9.062475
70,13.106565,-9.0382185
71,13.146528,-9.014423
72,13.168213,-9.001623
73,13.201937,-8.981875
74,13.241986,-8.956247
75,13.259873,-8.951137
76,13.313714,-8.912387
77,13.412616,-8.850449
78,13.43177,-8.836046
79,13.461238,-8.81986
80,13.462583,-8.819632
81,13.515226,-8.785863
82,13.569999,-8.75114
83,13.613697,-8.723661
84,13.661731,-8.693384
85,13.679024,-8.682431
86,13.697283,-8.670712
87,13.7432995,-8.641912
88,13.792145,-8.611081
89,13.839039,-8.582023
90,13.857913,-8.576275
91,13.916193,-8.52942
92,13.9688835,-8.493896
93,13.96203,-8.509584
94,14.003279,-8.47957
95,14.040159,-8.459023
96,14.081196,-8.431449
97,14.105316,-8.418987
98,14.198817,-8.351358
99,14.210172,-8.349639
100,14.237391,-8.332877
101,14.299122,-8.290624
102,14.33832,-8.269041
103,14.370606,-8.243543
104,14.383876,-8.240418
105,14.458026,-8.198902
106,14.460929,-8.192115
107,14.490933,-8.167056
108,14.568822,-8.120601
109,14.56935,-8.130257
110,14.640348,-8.07966
111,14.673873,-8.058287
112,14.664604,-8.068796
113,14.745917,-8.010231
114,14.792523,-7.986426
115,14.796825,-7.9832516
116,14.89544,-7.919146
117,14.897244,-7.924039
118,14.9296255,-7.9043922
119,14.979858,-7.8737636
120,15.03565,-7.8382936
121,15.082306,-7.8092957
122,15.066881,-7.8277435
123,15.127762,-7.7847548
124,15.174469,-7.7569284
125,15.186857,-7.7499156
126,15.236288,-7.719242
127,15.268685,-7.698913
128,15.337792,-7.655731
129,15.372972,-7.6408815
130,15.389819,-7.62309
131,15.425968,-7.600608
132,15.476413,-7.569473
133,15.45704,-7.5829716
134,15.529547,-7.536345
135,15.592161,-7.495568
136,15.609523,-7.4846954
137,15.638341,-7.466559
138,15.694338,-7.431128
139,15.738387,-7.4034476
140,15.792766,-7.3695207
141,15.812445,-7.356926
142,15.864893,-7.324523
