cluster,MAE,nummolec
0,25.46865610826074,350
1,52.01552982285557,91
2,42.843159572133956,322
3,66.16812601327015,212
4,18.881833239827554,59
5,45.17525064830256,196
6,57.2508572602727,23
7,41.02504828089671,427
8,37.39309181190001,111
9,37.13798368177838,186
10,31.790480043374984,25
11,12.94873122215788,20
12,19.34668568365854,42
13,63.890742162147994,251
14,4.16559903910345,30
15,43.408478294842844,71
16,15.661245287029407,35
17,34.938436585365864,42
18,38.647124651853346,76
19,21.136095516638893,37
20,42.70489323547567,186
21,43.272340425531915,48
22,43.38212987732185,88
23,21.25499999999999,49
24,39.75937995883169,203
25,42.30935779816512,110
26,18.841052631578947,20
27,39.77314285450139,362
28,14.280499999999998,21
29,57.74966101694915,119
30,34.554659776536305,180
31,33.76620689655173,30
32,23.958,64
33,31.483045098039227,52
34,35.0592857142857,15
35,40.946827586206894,146
