,UMAP1,UMAP2
0,0.6053833,20.449986
1,0.62222,20.471907
2,0.6165601,20.463348
3,0.6166688,20.469036
4,0.6112339,20.460312
5,0.6178556,20.470303
6,0.6167974,20.468721
7,0.6129707,20.460842
8,0.6123045,20.463015
9,0.59890664,20.443718
10,0.5820845,20.41011
11,0.5635819,20.384268
12,0.55492634,20.371023
13,0.5475472,20.357635
14,0.54416627,20.351604
15,0.500613,20.298925
16,0.4920382,20.27847
17,0.51005167,20.28384
18,0.5123892,20.278795
19,0.50191927,20.246674
20,0.5216101,20.200726
21,0.4789626,20.195606
22,0.4804398,20.167585
23,0.42540994,20.05334
24,0.46708703,20.145401
25,0.4375326,20.059647
26,0.4056214,20.006838
27,0.40727368,19.991608
28,0.41096556,19.977667
29,0.39185694,19.932507
30,0.40788537,19.954369
31,0.38015583,19.881552
32,0.3476433,19.801586
33,0.3703978,19.852427
34,0.32636812,19.748192
35,0.34614956,19.794638
36,0.3329165,19.764008
37,0.3178525,19.745337
38,0.31517825,19.721315
39,0.31114757,19.708593
40,0.30433393,19.709278
41,0.3021211,19.694756
42,0.27507517,19.65433
43,0.26441252,19.626497
44,0.21315396,19.497248
45,0.181516,19.43209
46,0.18749923,19.447794
47,0.17116715,19.415237
48,0.16386881,19.399988
49,0.089234956,19.23963
50,0.060910873,19.19844
51,0.05768842,19.19159
52,0.042333156,19.161715
53,0.041118696,19.169132
54,0.03263013,19.154467
55,0.038066693,19.138819
56,0.039362162,19.14019
57,-0.007967029,19.059877
58,0.009737807,19.074923
59,-0.025632212,19.027058
60,-0.053708997,18.985771
61,-0.058336012,18.969625
62,-0.04758821,18.948353
63,-0.0693988,18.945055
64,-0.10701394,18.868126
65,-0.119096175,18.859716
66,-0.13074166,18.841381
67,-0.17328505,18.775887
68,-0.1915811,18.746284
69,-0.2533244,18.657349
70,-0.2310501,18.670563
71,-0.27000985,18.616451
72,-0.30057207,18.571442
73,-0.30232552,18.563406
74,-0.3201418,18.5305
75,-0.35728946,18.478376
76,-0.35878348,18.474789
77,-0.38887852,18.430182
78,-0.39284143,18.423555
79,-0.44405124,18.343315
80,-0.44725177,18.339727
81,-0.51022565,18.251608
82,-0.5344026,18.217916
83,-0.56070405,18.181952
84,-0.59018004,18.141947
85,-0.64321315,18.076237
86,-0.6140078,18.105045
87,-0.6794971,18.023453
88,-0.6816939,18.017342
89,-0.7264462,17.964005
90,-0.7486419,17.933556
91,-0.76944405,17.908487
92,-0.7804538,17.892056
93,-0.7987934,17.86656
94,-0.83013505,17.835432
95,-0.8935478,17.763533
96,-0.9018588,17.752638
97,-0.92239803,17.729439
98,-0.9588988,17.690294
99,-0.97838527,17.66818
100,-0.99469155,17.651754
101,-1.0529842,17.589012
102,-1.0798969,17.562876
103,-1.0962417,17.54699
104,-1.1138462,17.527292
105,-1.1719016,17.4712
106,-1.1828415,17.460575
107,-1.1934793,17.451225
108,-1.2684246,17.386086
109,-1.2811259,17.374565
110,-1.2931565,17.361206
111,-1.3299935,17.32781
112,-1.3252472,17.337084
113,-1.3553199,17.308277
114,-1.3692251,17.300465
115,-1.4336965,17.241907
116,-1.4802725,17.211306
117,-1.5348755,17.170523
118,-1.5246357,17.181044
119,-1.5511358,17.161613
120,-1.5847911,17.141796
121,-1.6208932,17.11674
122,-1.6763729,17.078203
123,-1.6878204,17.06861
124,-1.7397338,17.032106
125,-1.7629751,17.018045
126,-1.7865,17.011715
127,-1.8187413,16.99024
128,-1.8940742,16.954424
129,-1.8516105,16.979996
130,-1.8861339,16.96493
131,-1.94224,16.933342
132,-1.9787369,16.916475
133,-2.0063722,16.903652
134,-2.0505896,16.880068
135,-2.0989065,16.867455
136,-2.1586552,16.841986
137,-2.2007294,16.832796
138,-2.267311,16.812836
139,-2.2960672,16.805557
140,-2.331202,16.784746
141,-2.3500297,16.783115
142,-2.4165769,16.758709
143,-2.4618351,16.745806
144,-2.4980478,16.746943
145,-2.5759,16.686266
146,-2.5818615,16.718061
147,-2.6307037,16.701551
148,-2.6595292,16.697731
149,-2.686904,16.691591
150,-2.741828,16.680317
151,-2.7547922,16.6824
152,-2.848254,16.66311
153,-2.843795,16.669151
154,-2.8785815,16.65591
155,-2.9423633,16.646019
156,-3.026688,16.636265
157,-3.0334196,16.62944
158,-3.039307,16.63786
159,-3.1476145,16.611635
160,-3.1737702,16.608295
161,-3.2141614,16.601498
162,-3.2154844,16.601233
163,-3.2505462,16.59693
164,-3.3045788,16.589762
165,-3.3443563,16.595049
166,-3.4254637,16.574347
167,-3.4256108,16.574636
168,-3.5215697,16.563316
169,-3.5682533,16.558475
170,-3.6017046,16.556036
171,-3.6532307,16.550785
172,-3.670823,16.54956
173,-3.712628,16.545382
174,-3.736917,16.543737
175,-3.7875757,16.538973
176,-3.8372805,16.533731
177,-3.8448305,16.538458
178,-3.9243717,16.521982
179,-3.954016,16.517965
180,-4.0044713,16.514503
181,-4.062644,16.508005
182,-4.142819,16.498686
183,-4.1693873,16.494823
184,-4.209802,16.489155
185,-4.260584,16.478579
186,-4.280023,16.479334
187,-4.3118844,16.474762
188,-4.351319,16.469805
189,-4.4080377,16.461214
190,-4.4416475,16.456282
191,-4.5198913,16.444036
192,-4.5354905,16.444923
193,-4.6074023,16.43518
194,-4.661877,16.42836
195,-4.7629724,16.412271
196,-4.7401524,16.418867
197,-4.8125734,16.408098
198,-4.8312435,16.407343
199,-4.9162116,16.393898
200,-4.9086065,16.395027
201,-5.0265727,16.355152
202,-5.0700593,16.372496
203,-5.1039486,16.367462
204,-5.212556,16.353662
205,-5.2257314,16.351774
206,-5.2919564,16.34302
207,-5.3737564,16.321413
208,-5.3943295,16.327505
209,-5.4171124,16.327532
210,-5.475959,16.309458
211,-5.54719,16.310225
212,-5.5982337,16.30333
213,-5.6248665,16.300154
214,-5.6815453,16.29214
215,-5.678944,16.2924
216,-5.8323393,16.266914
217,-5.8430653,16.261923
218,-5.879831,16.258986
219,-5.941325,16.249493
220,-5.984681,16.242031
221,-6.0306296,16.234629
222,-6.0813913,16.219168
223,-6.1452208,16.212658
224,-6.171348,16.210457
225,-6.1920676,16.175352
226,-6.2573705,16.19511
227,-6.31404,16.173521
228,-6.3313932,16.182575
229,-6.370511,16.176329
230,-6.3776293,16.177479
231,-6.527663,16.136358
232,-6.5262265,16.147205
233,-6.580064,16.14164
234,-6.579088,16.139837
235,-6.631742,16.13423
236,-6.6837626,16.125889
237,-6.7334337,16.108328
238,-6.790033,16.110662
239,-6.8089786,16.105257
240,-6.7951126,16.128368
241,-6.8468137,16.0961
242,-6.9051023,16.086544
243,-6.9532394,16.07789
244,-6.955916,16.076157
245,-7.0071316,16.069866
246,-7.0217614,16.07829
247,-7.0554123,16.06972
248,-7.1327477,16.03935
249,-7.188374,16.030735
250,-7.2063828,16.024925
251,-7.226856,16.018717
252,-7.3102093,16.006516
253,-7.309651,16.014198
254,-7.3999414,15.988818
255,-7.424434,15.977182
256,-7.4621863,15.9737835
257,-7.504991,15.966533
258,-7.5529385,15.955478
259,-7.5966616,15.945705
260,-7.570034,15.960783
261,-7.67241,15.919408
262,-7.698662,15.920984
263,-7.72496,15.915032
264,-7.7953115,15.896572
265,-7.818144,15.890478
266,-7.8652043,15.8769245
267,-7.858388,15.881567
268,-7.9275713,15.862567
269,-8.028508,15.8321
270,-8.071963,15.822945
271,-8.130422,15.809351
272,-8.188931,15.788276
273,-8.230081,15.781904
274,-8.276919,15.770942
275,-8.323991,15.747864
276,-8.429632,15.729248
277,-8.443117,15.725164
278,-8.493876,15.70048
279,-8.533024,15.692281
280,-8.558567,15.694096
281,-8.669807,15.649606
282,-8.667931,15.668121
283,-8.690304,15.665399
284,-8.785919,15.622961
285,-8.811793,15.619301
286,-8.834442,15.61291
287,-8.877201,15.604912
288,-8.949259,15.571593
289,-8.963001,15.572186
290,-9.030967,15.5499325
291,-9.063009,15.532942
292,-9.096886,15.530885
293,-9.146783,15.516512
294,-9.205343,15.495339
295,-9.24751,15.476592
296,-9.312134,15.456735
297,-9.356388,15.436615
298,-9.385627,15.433524
299,-9.455566,15.4013405
300,-9.530561,15.371426
301,-9.572677,15.356807
302,-9.640052,15.331807
303,-9.690762,15.311655
304,-9.755619,15.284602
305,-9.771783,15.279188
306,-9.793921,15.269336
307,-9.857097,15.242185
308,-9.854037,15.2638235
309,-9.975712,15.189267
310,-9.984759,15.185934
311,-10.065624,15.150586
312,-10.111389,15.126898
313,-10.161262,15.106108
314,-10.17447,15.101903
315,-10.22769,15.075425
316,-10.2759695,15.055633
317,-10.297707,15.045558
318,-10.344641,15.028137
319,-10.37568,15.009039
320,-10.403276,14.995219
321,-10.498519,14.951531
322,-10.53336,14.935091
323,-10.554423,14.925694
324,-10.589705,14.910452
325,-10.675854,14.863849
326,-10.698753,14.855339
327,-10.735457,14.837491
328,-10.748712,14.8304825
