index,SMILES,lambdamax,Tt,Ts,E0t,E0s,Ered,Eox,*Eredt,*Ereds,*Eoxt,*Eoxs,Name,Unnamed: 14,Unnamed: 15
0,BrC1=C(O)C(Br)=C(O2)C(C(C3=C(C(O)=O)C=CC=C3)=C4C2=C(Br)C(C(Br)=C4)=O)=C1,539.0,24.0,0.00266,1.89,2.31,-1.06,0.78,0.83,1.25,-1.11,-1.53,,,
1,OC1=CC=C(C(O2)=C1)C(C3=C(C(O)=O)C=CC=C3)=C4C2=CC(C=C4)=O,450.0,,0.0047,1.94,2.42,-1.22,0.7,0.72,1.2,-1.24,1.72,,,
2,OC1=C(I)C=C(C(O2)=C1I)C(C3=C(C(O)=O)C(Cl)=C(Cl)C(Cl)=C3Cl)=C4C2=C(I)C(C(I)=C4)=O,549.0,,0.0005,1.77,2.17,-0.78,1.09,0.99,1.39,-0.68,-1.08,,,
3,CCN(CC)C1=CC=C(C(O2)=C1)C(C3=C(C(O)=O)C=CC=C3)=C4C2=C/C(C=C4)=[N+](CC)\CC,550.0,,0.00245,1.8,2.22,-0.96,0.91,0.84,1.26,-0.89,-1.31,,,
4,O=C(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,365.0,3.0,,2.7,2.98,-2.2,0.86,0.5,0.78,-1.84,-2.2,,,
5,O=C1C2=C(C=CC=C2)C(C3=C1C=CC=C3)=O,410.0,,0.0032,2.73,2.88,-0.96,,1.77,1.92,,,,,
6,O=C(C(Cl)=C1Cl)C(C#N)=C(C#N)C1=O,400.0,2.4,,2.67,3.29,0.51,,3.18,3.8,,,,,
7,O=C(C(Cl)=C1Cl)C(Cl)=C(Cl)C1=O,510.0,3.5,,2.7,,0.02,,2.72,,,,,,
8,CC(C=C1C)=CC(C)=[C@@]1[C@]2=C3C(C=CC=C3)=[N+](C)C4=CC=CC=C42.O=Cl(=O)([O-])=O,425.0,30.0,0.006,2.37,2.68,-0.49,1.88,1.88,2.19,-0.49,-0.8,,,
9,CC(C=C1C)=CC(C)=[C@@]1[C@]2=C3C(C=C(C(C)(C)C)C=C3)=[N+](C4=CC=CC=C4)C5=CC(C(C)(C)C)=CC=C52,420.0,0.0144,,2.67,,-0.59,-0.59,2.08,,,,,,
10,CC(C=C1C)=CC(C)=[C@@]1[C@]2=C3C(C=CC(OC)=C3)=[N+](C4=CC=CC=C4)C5=CC=C(OC)C=C52,466.0,0.0187,,2.47,,-0.57,,1.9,,,,,,
11,CC(C=C1C)=CC(C)=[C@@]1[C@]2=C3C(C=C(OC)C=C3)=[N+](C4=CC=CC=C4)C5=CC(OC)=CC=C52,407.0,0.003,,2.72,,-0.71,,2.01,,,,,,
12,CC(C=C1C)=CC(C)=[C@@]1[C@]2=C3C(C=C(OC)C=C3OC)=[N+](C4=CC(OC)=CC(OC)=C4)C5=CC(OC)=CC(OC)=C52,414.0,0.0013,,2.47,,-0.82,,1.65,,,,,,
13,N#CC1=C2C(C=CC=C2)=C(C#N)C3=CC=CC=C31,422.0,0.0149,,1.81,2.9,-0.91,,0.9,1.99,,,,,
14,N#CC1=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)[C@]([N@]5C(C=CC=C6)=C6C7=C5C=CC=C7)=[C@]([N@]8C(C=CC=C9)=C9C%10=C8C=CC=C%10)C(C#N)=C1N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13,379.0,5.1,0.4,2.59,2.64,-1.21,1.52,1.38,1.43,-1.07,-1.12,,,
15,N#CC1=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)[C@]([N@]5C(C=CC=C6)=C6C7=C5C=CC=C7)=[C@]([N@]8C(C=CC=C9)=C9C%10=C8C=CC=C%10)[C@]([N@]%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13)=C1C#N,369.0,5.03,,2.45,,-1.16,,1.29,,,,,,
16,CC(C)(C)C(C=C1)=CC2=C1N(C3=C2C=C(C(C)(C)C)C=C3)C4=C(C#N)[C@@]([N@@]5C(C=CC(C(C)(C)C)=C6)=C6C7=C5C=CC(C(C)(C)C)=C7)=[C@@]([N@@]8C(C=CC(C(C)(C)C)=C9)=C9C%10=C8C=CC(C(C)(C)C)=C%10)C(N%11C(C=CC(C(C)(C)C)=C%12)=C%12C%13=C%11C=CC(C(C)(C)C)=C%13)=C4C#N,468.0,2.9,,2.53,,-1.32,1.22,1.21,,-1.31,,,,
17,ClC1=[C@]([N@]2C(C=CC=C3)=C3C4=C2C=CC=C4)C(C#N)=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C(C#N)=C1N8C(C=CC=C9)=C9C%10=C8C=CC=C%10,,0.0069,,2.72,,-1.16,1.79,1.56,,-0.93,,,,
18,ClC1=C(N(C2=CC=CC=C2)C3=CC=CC=C3)C(C#N)=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C(C#N)=C1N(C6=CC=CC=C6)C7=CC=CC=C7,,0.0115,,2.65,,-1.41,1.31,1.24,,-1.34,,,,
19,FC1=C(N(C2=CC=CC=C2)C3=CC=CC=C3)C(C#N)=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C(F)=C1N(C6=CC=CC=C6)C7=CC=CC=C7,,0.0042,,2.84,,-1.92,1.24,0.92,,-1.6,,,,
20,N#CC1=C[C@]([N@]2C(C=CC=C3)=C3C4=C2C=CC=C4)=[C@]([N@]5C(C=CC=C6)=C6C7=C5C=CC=C7)C=C1C#N,374.0,166.0,,2.63,,-1.45,1.47,1.21,,-1.16,,,,
21,CN(C)C1=CC(S2)=C(C=C1)N=C3C2=C/C(C=C3)=[N+](C)/C.[Cl-],665.0,77.0,0.001,1.85,-1.16,-0.3,1.13,1.56,-0.93,-0.72,-0.73,,,
22,C1(C=CC=C2)=C2SC(C=CC=C3)=C3N1C4=CC=CC=C4,,0.00081,,2.4,-1.41,,0.68,1.24,-1.34,-1.7,-2.1,,,
23,C1(C=CC=C2)=C2OC(C=CC=C3)=C3N1C4=CC=CC=C4,324.0,0.0029,,2.69,-1.92,,0.58,0.92,-1.6,-2.11,,,,
24,COC(C=C1)=CC=C1N(C2=C3C=CC=C2)C4=C(C=CC=C4)N3C5=CC=C(OC)C=C5,373.0,,,2.31,,,-0.05,1.18,,-2.36,,,,
25,C1(N2C(C=CC=C3)=C3N(C4=CC=CC=C4)C5=C2C=CC=C5)=CC=CC=C1,370.0,,,2.34,,,0.0,1.55,1.56,-2.34,,,,
26,FC(C(C=C1)=CC=C1N(C2=C3C=CC=C2)C4=C(C=CC=C4)N3C5=CC=C(C(F)(F)F)C=C5)(F)F,367.0,,0.001,2.37,1.86,,0.13,,,-2.24,,,,
27,N#CC(C=C1)=CC=C1N(C2=C3C=CC=C2)C4=C(C=CC=C4)N3C5=CC=C(C#N)C=C5,322.0,,,2.21,2.8,,0.16,,,-2.06,,,,
28,CN1C2=C(C3=CC=CC=C3)C=CC(C4=CC=CC=C4)=C2C5=C1C(C=CC=C6)=C6C7=C5C=CC=C7,,,,3.02,,,1.1,,-2.11,-1.92,,,,
29,C1(C=CC(C2=CC=C(C3=CC=CC=C3)C=C2)=C4)=C4OC(C=C(C5=CC=C(C6=CC=CC=C6)C=C5)C=C7)=C7N1C8=C(C=CC=C9)C9=CC=C8,388.0,480.0,0.0029,2.45,2.83,,0.65,,2.51,-1.8,,,,
30,O=C(N1C2=C(C(C)C)C=CC=C2C(C)C)C3=C4C(C5=CC=C4C1=O)=C(C=C3)C6=C7C5=CC=C(C(N(C8=C(C(C)C)C=CC=C8C(C)C)C9=O)=O)C7=C9C=C6,527.0,,0.0038,2.34,,-0.37,1.65,1.97,,,-0.69,,,
31,CCCN1C2=C(C(OC)=CC=C2)[C+]3C4=C(C=CC=C4OC)N(CCC)C5=CC=CC1=C53.FB(F)F.[F-],616.0,0.0055,,1.93,,-0.78,1.32,1.15,,-0.61,,,,
32,C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=C(C=CC=C4)C4=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C1,375.0,,0.009,2.71,,,0.76,,,,-1.95,,,
33,CC(C)(C)C(C=C1)=CC=C1N(C2=CC=C(C(C)(C)C)C=C2)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C(C)(C)C)C=C5)C6=CC=C(C(C)(C)C)C=C6)C7=C3C=CC=C7,471.0,0.031,,2.2,,,0.78,,,-1.42,,,,
34,CN(C)C(C=C1)=CC2=C1N(CC)C3=C2C=C(N(C)C)C=C3,388.0,0.017,,3.02,,,0.27,,,-2.75,,,,
35,CN(C)C(C=C1)=CC2=C1NC3=C2C=C(N(C)C)C=C3,,,,3.05,,,0.29,,-1.92,-2.76,,,,
36,O=C1OC2=C(C=CC=C2)C3=CC4=C(C=CC=C4)C(C5=CC=CC=C5)=C31,421.0,0.00144,,3.02,,-1.74,1.75,1.28,,-1.27,,,,
37,O=C1OC2=C(C=CC=C2)C3=CC4=C(C=CC=C4)C(C5=CC=CC=C5F)=C31,421.0,0.00207,,3.15,-0.37,-1.68,1.81,1.47,,-1.34,,,,
38,O=C1OC2=C(C=CC=C2)C3=CC4=C(C=CC=C4)C=C31,411.0,0.00386,1.93,3.22,-0.78,-1.67,1.8,1.55,-0.61,-1.42,,,,
